id,document_id,line_item_id,total_price,status,description,created_at,updated_at,is_accepted,accepted_on,vendor_id,rejected_on,rushed,deadline,batch_no,shipped_at,production_time,ship_accuracy,ship_rating,quantity,unit_price,additional_cost,paid,origin,invoice_id,default_production_time,product,vendor
1,2,708,500.0000,3,,2018-04-05 17:16:28,2019-12-02 20:12:50,1,2018-04-05 17:27:20,39,NULL,0,NULL,2018-W13-2,2019-12-02 20:12:50,606,576,negative,100,5.00,0.00,1,0,3271,30,Custom Camp Cap - 5 Panel - 100pcs,DLSN Warehouse
4,5,712,NULL,3,NULL,2018-04-11 16:06:48,2018-10-01 17:56:43,1,2018-05-07 13:02:17,322,NULL,0,NULL,2018-W14-1,2018-06-07 00:55:26,31,1,negative,50,NULL,0.00,1,0,3273,30,Custom Dad Cap - 50pcs,Hidy Zhao
5,6,687,NULL,3,NULL,2018-04-11 16:07:32,2018-10-01 17:56:43,1,2018-05-07 13:02:08,322,NULL,0,NULL,2018-W14-1,2018-06-07 00:59:53,31,1,negative,30,NULL,0.00,1,0,3261,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
6,7,718,NULL,3,NULL,2018-04-11 18:10:55,2018-10-01 17:56:43,1,2018-05-07 13:01:56,322,NULL,0,NULL,2018-W14-1,2018-06-07 01:00:19,31,1,negative,100,NULL,0.00,1,0,3276,30,Custom Dad Cap - 100pcs,Hidy Zhao
7,8,735,NULL,3,NULL,2018-04-11 22:10:35,2018-10-01 17:56:43,1,2018-05-07 13:01:46,322,NULL,0,NULL,2018-W14-1,2018-05-14 02:45:59,7,-23,positive,50,NULL,0.00,1,0,3283,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
8,9,698,NULL,3,NULL,2018-04-12 15:13:25,2018-10-01 17:56:43,1,2018-05-07 13:01:36,322,NULL,0,NULL,2018-W14-2,2018-06-07 01:00:42,31,1,negative,50,NULL,0.00,1,0,3267,30,End of Year Special - 50pcs,Hidy Zhao
9,10,731,NULL,3,NULL,2018-04-12 15:54:32,2018-10-01 17:56:43,1,2018-05-07 13:01:28,322,NULL,0,NULL,2018-W14-2,2018-06-07 01:01:10,31,1,negative,200,NULL,0.00,1,0,3281,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
10,11,297,NULL,3,NULL,2018-04-16 21:48:50,2018-10-01 17:56:43,1,2018-05-07 13:01:19,322,NULL,0,NULL,2018-W15-1,2018-06-28 02:27:45,52,22,negative,50,NULL,0.00,1,0,3113,30,End of Year Special - 50pcs,Hidy Zhao
11,12,710,NULL,3,NULL,2018-04-16 21:51:07,2018-10-01 17:56:43,1,2018-05-07 13:01:09,322,NULL,0,NULL,2018-W15-1,2018-06-07 01:03:29,31,1,negative,150,NULL,0.00,1,0,3272,30,Snapback - 6 Panel - Custom QTY,Hidy Zhao
12,13,714,NULL,3,NULL,2018-04-17 15:28:17,2018-10-01 17:56:43,1,2018-05-07 13:00:55,322,NULL,0,NULL,2018-W15-1,2018-06-07 01:03:52,31,1,negative,50,NULL,0.00,1,0,3274,30,End of Year Special - 50pcs,Hidy Zhao
13,14,743,NULL,3,NULL,2018-04-17 17:15:49,2018-10-01 17:56:43,1,2018-05-07 12:56:18,322,NULL,0,NULL,2018-W15-1,2018-07-12 05:06:48,66,36,negative,300,NULL,0.00,1,0,3264,30,Trucker Mesh - 6 Panel - Custom QTY,Hidy Zhao
14,15,749,NULL,3,NULL,2018-04-17 17:16:06,2018-10-01 17:56:43,1,2018-05-07 13:00:25,322,NULL,0,NULL,2018-W15-1,2018-07-12 05:07:33,66,36,negative,1,NULL,0.00,1,0,3264,30,Premium Feature,Hidy Zhao
15,16,716,NULL,3,NULL,2018-04-17 18:52:32,2018-10-01 17:56:43,1,2018-05-07 12:59:57,322,NULL,0,NULL,2018-W15-1,2018-07-02 03:11:02,56,26,negative,250,NULL,0.00,1,0,3275,30,Custom Camp Cap - 5 Panel - 250pcs,Hidy Zhao
16,17,753,NULL,3,NULL,2018-04-17 22:15:22,2018-10-01 17:56:43,1,2018-05-07 12:59:46,322,NULL,0,NULL,2018-W15-1,2018-06-07 01:04:23,31,1,negative,50,NULL,0.00,1,0,3288,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
17,18,754,NULL,3,NULL,2018-04-17 22:15:36,2018-10-01 17:56:43,1,2018-05-07 12:59:28,322,NULL,0,NULL,2018-W15-1,2018-06-07 01:04:39,31,1,negative,50,NULL,0.00,1,0,3288,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
18,19,765,NULL,3,NULL,2018-04-19 18:44:33,2018-10-01 17:56:43,1,2018-05-07 12:56:36,322,NULL,0,NULL,2018-W15-2,2018-06-07 01:05:03,31,1,negative,1,NULL,0.00,1,0,3292,30,Custom Sample Production Hat,Hidy Zhao
19,20,770,NULL,3,NULL,2018-04-19 21:44:06,2018-10-01 17:56:43,1,2018-05-07 12:56:51,322,NULL,0,NULL,2018-W15-2,2018-06-07 01:05:30,31,1,negative,1,NULL,0.00,1,0,3294,30,Begin Proofing,Hidy Zhao
20,21,674,NULL,3,NULL,2018-04-20 15:22:23,2018-10-01 17:56:43,1,2018-05-07 12:57:07,322,NULL,0,NULL,2018-W15-2,2018-06-07 01:05:51,31,1,negative,50,NULL,0.00,1,0,3255,30,End of Year Special - 50pcs,Hidy Zhao
21,22,763,NULL,3,NULL,2018-04-21 00:00:21,2018-10-01 17:56:43,1,2018-05-07 12:57:20,322,NULL,0,NULL,2018-W15-2,2018-05-14 02:47:33,7,-23,positive,1,NULL,0.00,1,0,3291,30,Custom Sample Production Hat,Hidy Zhao
22,23,776,NULL,3,NULL,2018-04-22 15:56:45,2018-10-01 17:56:43,1,2018-05-07 12:57:34,322,NULL,0,NULL,2018-W16-2,2018-06-07 01:06:35,31,1,negative,300,NULL,0.00,1,0,3297,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
23,24,733,NULL,3,NULL,2018-04-24 14:29:29,2018-10-01 17:56:43,1,2018-05-07 12:57:45,322,NULL,0,NULL,2018-W16-1,2018-06-28 02:28:36,52,22,negative,30,NULL,0.00,1,0,3282,30,Bucket Hat - CST QTY,Hidy Zhao
24,25,685,NULL,3,NULL,2018-04-24 14:34:02,2018-10-01 17:56:43,1,2018-05-07 12:58:38,322,NULL,0,NULL,2018-W16-1,2018-06-07 01:07:11,31,1,negative,50,NULL,0.00,1,0,3260,30,End of Year Special - 50pcs,Hidy Zhao
25,26,758,NULL,3,NULL,2018-04-24 22:54:33,2018-10-01 17:56:43,1,2018-05-07 12:58:53,322,NULL,0,NULL,2018-W16-1,2018-06-07 01:07:32,31,1,negative,100,NULL,0.00,1,0,3289,30,Custom Dad Cap - 100pcs,Hidy Zhao
26,27,773,NULL,3,NULL,2018-04-25 14:05:35,2018-10-01 17:56:43,1,2018-05-08 05:46:37,322,NULL,0,NULL,2018-W16-1,2018-06-07 01:08:04,30,0,positive,50,NULL,0.00,1,0,3296,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
27,28,782,NULL,3,NULL,2018-04-25 18:58:07,2018-10-01 17:56:43,1,2018-05-08 05:46:31,322,NULL,0,NULL,2018-W16-1,2018-06-28 02:31:23,51,21,negative,50,NULL,0.00,1,0,3299,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
28,29,767,NULL,3,NULL,2018-04-27 16:21:17,2018-10-01 17:56:43,1,2018-05-08 05:46:24,322,NULL,0,NULL,2018-W16-2,2018-06-07 01:08:36,30,0,positive,100,NULL,0.00,1,0,3293,30,Custom Dad Cap - 100pcs,Hidy Zhao
29,30,788,NULL,3,NULL,2018-04-27 21:32:23,2018-10-01 17:56:43,1,2018-05-08 05:46:18,322,NULL,0,NULL,2018-W16-2,2018-06-07 01:08:55,30,0,positive,50,NULL,0.00,1,0,3302,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
30,31,780,NULL,3,NULL,2018-04-27 22:30:28,2018-10-01 17:56:43,1,2018-04-28 01:12:08,322,NULL,0,NULL,2018-W16-2,2018-06-07 00:57:48,40,10,negative,50,NULL,0.00,1,0,3158,30,End of Year Special - 50pcs,Hidy Zhao
31,32,791,NULL,3,NULL,2018-04-30 16:52:32,2018-10-01 17:56:43,1,2018-05-08 05:46:08,322,NULL,0,NULL,2018-W17-1,2018-07-02 03:11:15,55,25,negative,30,NULL,0.00,1,0,3303,30,Custom Dad Cap - 30pcs,Hidy Zhao
32,33,792,NULL,3,NULL,2018-04-30 16:52:55,2018-10-01 17:56:43,1,2018-05-08 05:46:03,322,NULL,0,NULL,2018-W17-1,2018-06-07 01:09:56,30,0,positive,30,NULL,0.00,1,0,3303,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
33,34,792,NULL,3,NULL,2018-04-30 16:53:02,2018-10-01 17:56:43,1,2018-05-08 05:45:57,322,NULL,0,NULL,2018-W17-1,2018-06-07 01:10:23,30,0,positive,30,NULL,0.00,1,0,3303,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
34,35,800,NULL,3,NULL,2018-04-30 23:47:25,2018-10-01 17:56:43,1,2018-05-08 05:45:53,322,NULL,0,NULL,2018-W17-1,2018-06-07 01:10:50,30,0,positive,50,NULL,0.00,1,0,3307,30,Beanie Hat - Custom Embellishment - 50pcs,Hidy Zhao
35,36,771,NULL,3,NULL,2018-05-01 14:44:55,2018-10-01 17:56:43,1,2018-05-08 05:45:47,322,NULL,0,NULL,2018-W17-1,2018-06-07 01:11:38,30,0,positive,50,NULL,0.00,1,0,3295,30,End of Year Special - 50pcs,Hidy Zhao
36,37,796,NULL,3,NULL,2018-05-01 20:54:18,2018-10-01 17:56:43,1,2018-05-08 05:45:43,322,NULL,0,NULL,2018-W17-1,2018-06-07 01:11:59,30,0,positive,1,NULL,0.00,1,0,3305,30,Custom Sample Production Hat,Hidy Zhao
37,38,784,NULL,3,NULL,2018-05-02 16:47:05,2018-10-01 17:56:43,1,2018-05-08 05:45:33,322,NULL,0,NULL,2018-W17-1,2018-06-28 02:32:29,51,21,negative,100,NULL,0.00,1,0,3300,30,Strapback - 6 Panel - 100pcs,Hidy Zhao
38,39,786,NULL,3,NULL,2018-05-02 18:32:08,2018-10-01 17:56:43,1,2018-05-08 05:45:25,322,NULL,0,NULL,2018-W17-1,2018-06-07 01:12:34,30,0,positive,30,NULL,0.00,1,0,3301,30,Beanie Hat - Custom Embellishment - 30pcs,Hidy Zhao
39,40,778,NULL,3,NULL,2018-05-02 22:50:01,2018-10-01 17:56:43,1,2018-05-05 06:41:01,322,NULL,0,NULL,2018-W17-1,2018-07-02 03:12:24,58,28,negative,30,NULL,0.00,1,0,3298,30,Strapback - 6 Panel - 30pcs,Hidy Zhao
40,41,751,NULL,3,NULL,2018-05-04 12:03:45,2018-10-01 17:56:43,1,2018-05-05 06:30:40,322,NULL,0,NULL,2018-W17-2,2018-06-28 02:33:56,54,24,negative,50,NULL,0.00,1,0,3287,30,End of Year Special - 50pcs,Hidy Zhao
41,42,807,NULL,3,NULL,2018-05-04 19:41:01,2018-10-01 17:56:43,1,2018-05-08 05:45:19,322,NULL,0,NULL,2018-W17-2,2018-06-28 02:35:21,51,21,negative,50,NULL,0.00,1,0,3310,30,Strapback - 5 Panel - 50pcs,Hidy Zhao
42,43,807,NULL,3,NULL,2018-05-04 19:47:49,2018-10-01 17:56:43,1,2018-05-08 05:45:09,322,NULL,0,NULL,2018-W17-2,2018-06-28 02:35:44,51,21,negative,50,NULL,0.00,1,0,3310,30,Strapback - 5 Panel - 50pcs,Hidy Zhao
43,44,813,NULL,3,NULL,2018-05-07 17:43:09,2018-10-01 17:56:43,1,2018-05-08 05:45:02,322,NULL,0,NULL,2018-W18-1,2018-06-07 01:13:33,30,0,positive,30,NULL,0.00,1,0,3313,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
44,45,814,NULL,3,NULL,2018-05-07 17:43:23,2018-10-01 17:56:43,1,2018-05-08 05:44:56,322,NULL,0,NULL,2018-W18-1,2018-06-28 02:34:56,51,21,negative,30,NULL,0.00,1,0,3313,30,Snapback - 6 Panel - 30pcs,Hidy Zhao
45,46,760,NULL,3,NULL,2018-05-09 14:48:53,2018-10-01 17:56:43,1,2018-05-14 03:29:27,322,NULL,0,NULL,2018-W18-1,2018-07-02 03:12:39,49,19,negative,30,NULL,0.00,1,0,3290,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
46,47,794,NULL,3,NULL,2018-05-10 19:03:23,2018-10-01 17:56:43,1,2018-05-14 03:28:55,322,NULL,0,NULL,2018-W18-2,2018-07-02 03:12:53,49,19,negative,30,NULL,0.00,1,0,3304,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
47,48,826,NULL,3,NULL,2018-05-14 13:13:04,2018-10-01 17:56:43,1,2018-05-16 02:22:58,322,NULL,0,NULL,2018-W19-1,2018-07-02 03:13:07,47,17,negative,30,NULL,0.00,1,0,3317,30,Beanie Hat - Custom Embellishment - 30pcs,Hidy Zhao
48,49,816,NULL,3,NULL,2018-05-14 13:15:45,2018-10-01 17:56:43,1,2018-05-16 02:22:44,322,NULL,0,NULL,2018-W19-1,2018-07-02 03:13:20,47,17,negative,50,NULL,0.00,1,0,3314,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
49,50,831,NULL,3,NULL,2018-05-15 15:13:11,2018-10-01 17:56:43,1,2018-05-16 02:21:33,322,NULL,1,2018-07-10 00:00:00,2018-W19-1,2018-06-28 02:51:22,43,-2,positive,300,NULL,0.00,1,0,3319,30,Custom Dad Cap - Custom QTY,Hidy Zhao
50,51,761,NULL,3,NULL,2018-05-16 17:30:09,2018-10-01 17:56:43,1,2018-05-17 00:58:45,322,NULL,0,NULL,2018-W19-1,2018-06-28 02:39:14,42,12,negative,50,NULL,0.00,1,0,3290,30,Bucket Hat - 50pcs,Hidy Zhao
51,52,834,NULL,3,NULL,2018-05-16 20:27:49,2018-10-01 17:56:43,1,2018-05-17 00:58:57,322,NULL,0,NULL,2018-W19-1,2018-07-02 03:13:35,46,16,negative,300,NULL,0.00,1,0,3321,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
52,53,811,NULL,3,NULL,2018-05-16 20:30:35,2018-10-01 17:56:43,1,2018-05-17 00:58:36,322,NULL,0,NULL,2018-W19-1,2018-07-02 03:13:51,46,16,negative,50,NULL,0.00,1,0,3312,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
53,54,836,NULL,3,NULL,2018-05-17 00:36:56,2018-10-01 17:56:43,1,2018-05-17 00:58:29,322,NULL,0,NULL,2018-W19-2,2018-07-02 03:14:07,46,16,negative,50,NULL,0.00,1,0,3322,30,Strapback - 5 Panel - 50pcs,Hidy Zhao
